origin_country,total_flights,avg_velocity,on_ground
Algeria,2,246.435,0
Argentina,21,184.7761904761905,2
Australia,360,111.11319444444445,58
Austria,6,147.60999999999999,1
Azerbaijan,1,247.62,0
Bahrain,3,228.64000000000001,0
Bangladesh,10,154.648,3
Belarus,2,233.775,0
Belgium,3,163.29666666666665,1
Bhutan,2,195.385,0
Brazil,84,192.71511904761905,4
Brunei Darussalam,1,189.84,0
Bulgaria,1,149.7,0
Canada,356,153.59654494382022,67
Chile,32,195.818125,1
China,209,190.11875598086124,16
Colombia,13,121.69769230769231,0
Croatia,1,250.69,0
Czech Republic,2,128.5,1
Denmark,3,244.80333333333337,0
Dominican Republic,5,205.954,0
Ecuador,2,129.33,0
Egypt,13,211.68076923076922,0
Estonia,2,12.344999999999999,2
Ethiopia,13,255.0646153846154,0
Fiji,4,183.57999999999998,0
Finland,12,236.69333333333336,1
France,46,188.82434782608695,6
Georgia,4,20.45,4
Germany,53,213.68603773584906,2
Greece,7,169.98285714285717,2
Iceland,11,180.09181818181818,2
India,141,182.17496453900708,18
Indonesia,32,186.4478125,0
Ireland,22,188.6909090909091,4
Israel,7,171.60857142857142,0
Italy,4,58.3825,1
Japan,201,158.25646766169154,21
Jordan,4,228.2875,0
Kenya,1,129.41,0
Kingdom of the Netherlands,14,238.44571428571427,0
Kuwait,1,224.73,0
Lao People's Democratic Republic,1,64.26,0
Libyan Arab Jamahiriya,1,230.21,0
Lithuania,1,67.64,0
Luxembourg,8,222.21875,0
Malaysia,34,168.6264705882353,2
Malta,10,206.468,0
Mauritania,1,203.22,0
Mauritius,1,5.4,1
Mexico,92,175.16141304347826,8
Morocco,8,229.185,0
Myanmar,1,93.92,0
Namibia,1,112.57,0
New Zealand,62,99.92435483870969,4
Norway,1,295.82,0
Oman,4,237.70999999999998,0
Panama,23,205.2917391304348,2
Papua New Guinea,1,217.08,0
Philippines,47,137.86148936170213,6
Poland,7,196.39714285714285,0
Portugal,9,143.2888888888889,3
Qatar,9,193.78444444444443,2
Republic of Korea,86,192.22976744186045,5
Republic of Moldova,1,254.24,0
Romania,6,234.106,1
Russian Federation,26,184.1053846153846,0
Saudi Arabia,8,233.64375,0
Serbia,2,201.43,0
Seychelles,1,244.11,0
Singapore,36,198.1602777777778,3
Slovenia,1,234.62,0
Spain,32,197.0378125,4
Sri Lanka,2,196.8,0
Sweden,8,146.655,3
Switzerland,18,175.73411764705884,5
Taiwan,53,169.6145283018868,3
Thailand,38,191.59710526315789,0
Trinidad and Tobago,2,225.28,0
Tunisia,1,182.88,0
Turkey,114,218.0769298245614,3
Turkmenistan,1,244.38,0
Ukraine,4,156.95,1
United Arab Emirates,44,211.03363636363636,2
United Kingdom,87,180.53931034482758,15
United States,4268,157.2127044762128,425
Uzbekistan,2,220.055,0
Venezuela,2,211.85,0
Viet Nam,17,184.97058823529412,1
