icao24,origin_country,velocity,on_ground
80162c,India,229.18,False
ab1644,United States,0.0,True
ad5612,United States,64.32,False
801638,India,164.17,False
aa9321,United States,232.48,False
801640,India,239.36,False
ab6fdd,United States,177.26,False
801645,India,220.4,False
a3b87f,United States,201.79,False
8744f6,Japan,79.82,False
80163d,India,240.83,False
801649,India,141.12,False
a3b88e,United States,272.44,False
8a02ea,Indonesia,222.31,False
acdfa3,United States,191.49,False
80160a,India,3.6,True
801615,India,222.71,False
801618,India,218.6,False
abacb6,United States,216.43,False
a1befc,United States,94.68,False
ad5623,United States,204.69,False
80161c,India,205.55,False
7c2ebe,Australia,54.3,False
801627,India,236.18,False
801626,India,218.24,False
acdfab,United States,114.21,False
a0e250,United States,214.64,False
ac2320,United States,50.22,False
a2ded8,United States,215.16,False
ad694c,United States,6.43,True
801633,India,1.29,True
adeca5,United States,164.41,False
8a02d8,Indonesia,88.52,False
ab0356,United States,268.31,False
a2228b,United States,199.24,False
4bc8c8,Turkey,239.89,False
e80252,Chile,231.95,False
4bc8c6,Turkey,254.03,False
4bc8c4,Turkey,237.93,False
ab0361,United States,264.87,False
e8024d,Chile,217.61,False
80167c,India,148.18,False
80167f,India,230.54,False
abf008,United States,236.14,False
a6f0ea,United States,83.88,False
801698,India,216.78,False
841a6c,Japan,192.99,False
4bc8d3,Turkey,230.02,False
e8025e,Chile,226.94,False
ac234f,United States,0.0,True
80164f,India,79.86,False
a35592,United States,249.41,False
acdffc,United States,216.59,False
a3a538,United States,130.75,False
e80277,Chile,225.9,False
801662,India,221.25,False
ac3688,United States,246.83,False
ad3006,United States,260.34,False
a34268,United States,225.08,False
adecb8,United States,68.5,False
aae377,United States,220.28,False
e8026a,Chile,235.15,False
a3689e,United States,234.81,False
ac1042,United States,296.48,False
a4c527,United States,231.57,False
a53ee2,United States,258.52,False
801670,India,238.7,False
a27d14,United States,134.22,False
abad94,United States,198.4,False
a9fbb6,United States,59.04,False
adda24,United States,226.17,False
adda23,United States,0.77,True
8a040b,Indonesia,231.8,False
8a0419,Indonesia,232.95,False
a9653d,United States,196.3,False
80168a,India,190.38,False
e8021e,Chile,238.82,False
e8021d,Chile,240.37,False
3455c1,Spain,233.87,False
a71295,United States,201.78,False
ad41cd,United States,212.49,False
a5d28e,United States,186.61,False
a5d28c,United States,145.93,False
a8dbbd,United States,87.64,False
a88bb8,United States,51.18,False
c07bc7,Canada,211.31,False
46b830,Greece,236.74,False
851936,Japan,244.18,False
a02a66,United States,67.08,False
4cc2ad,Iceland,290.59,False
a091d5,United States,0.0,True
a8eed8,United States,239.31,False
a58267,United States,213.12,False
a4c592,United States,213.14,False
a101c3,United States,0.0,True
a6189c,United States,143.82,False
aa099e,United States,249.72,False
aa3ce7,United States,279.04,False
aa9339,United States,95.27,False
aaf617,United States,0.45,True
a247f0,United States,178.0,False
c04893,Canada,57.89,False
a8a82f,United States,65.92,False
acba8d,United States,121.16,False
a8453e,United States,239.99,False
a247e2,United States,96.73,False
a2ba48,United States,71.93,False
8014a4,India,182.21,False
a38a3a,United States,0.0,True
7c1c48,Australia,115.45,False
a3ed69,United States,195.21,False
c03517,Canada,220.91,False
87455c,Japan,146.64,False
885223,Thailand,247.08,False
8014b0,India,230.09,False
ab5d2c,United States,168.61,False
c0481c,Canada,261.22,False
abad16,United States,220.28,False
a4d7eb,United States,6.17,True
e0b214,Argentina,256.71,False
a8dd00,United States,59.36,False
a00929,United States,1.03,True
accd13,United States,197.51,False
8a047a,Indonesia,218.17,False
c0484c,Canada,131.59,False
accd18,United States,281.94,False
a091f3,United States,258.14,False
a091f0,United States,81.36,False
ab5d4a,United States,210.82,False
ab14d9,United States,208.75,False
a9529f,United States,,True
c81d8e,New Zealand,201.74,False
a3ed91,United States,246.07,False
aaf4c8,United States,208.18,False
a88d10,United States,8.75,True
ac47de,United States,239.11,False
c81d93,New Zealand,46.65,False
8014e6,India,75.12,False
a0093f,United States,77.18,False
a0093e,United States,205.29,False
c81d9d,New Zealand,233.03,False
8014dc,India,238.83,False
8014dd,India,244.12,False
ac34bf,United States,204.76,False
