ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,ProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,Description,StartDate,EndDate,Status,ProductSubcategoryName,ProductSubcategoryAlternateKey,ProductCategoryKey,ProductCategoryAlternateKey,ProductCategoryName
210,FR-R92B-58,14,LB ,CM ,"HL Road Frame - Black, 58",0.0,True,Black,500,375,0.0,58,54-58 CM,2.24,1,R ,0.0,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2003-07-01,,Current,Road Frames,14,2,2,Components
211,FR-R92R-58,14,LB ,CM ,"HL Road Frame - Red, 58",0.0,True,Red,500,375,0.0,58,54-58 CM,2.24,1,R ,0.0,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2003-07-01,,Current,Road Frames,14,2,2,Components
238,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",747.9682,True,Red,500,375,1263.4598,62,60-62 CM,2.3,1,R ,758.0759,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2011-07-01,2007-12-28,,Road Frames,14,2,2,Components
239,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",722.2568,True,Red,500,375,1301.3636,62,60-62 CM,2.3,1,R ,780.8182,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2012-07-01,2008-12-27,,Road Frames,14,2,2,Components
240,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",868.6342,True,Red,500,375,1431.5,62,60-62 CM,2.3,1,R ,858.9,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2013-07-01,,Current,Road Frames,14,2,2,Components
241,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",747.9682,True,Red,500,375,1263.4598,44,42-46 CM,2.12,1,R ,758.0759,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2011-07-01,2007-12-28,,Road Frames,14,2,2,Components
242,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",722.2568,True,Red,500,375,1301.3636,44,42-46 CM,2.12,1,R ,780.8182,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2012-07-01,2008-12-27,,Road Frames,14,2,2,Components
243,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",868.6342,True,Red,500,375,1431.5,44,42-46 CM,2.12,1,R ,858.9,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2013-07-01,,Current,Road Frames,14,2,2,Components
244,FR-R92R-48,14,LB ,CM ,"HL Road Frame - Red, 48",747.9682,True,Red,500,375,1263.4598,48,48-52 CM,2.16,1,R ,758.0759,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2011-07-01,2007-12-28,,Road Frames,14,2,2,Components
245,FR-R92R-48,14,LB ,CM ,"HL Road Frame - Red, 48",722.2568,True,Red,500,375,1301.3636,48,48-52 CM,2.16,1,R ,780.8182,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2012-07-01,2008-12-27,,Road Frames,14,2,2,Components
